site,ensemble_mse_scaled,full_mse_scaled,ensemble_rmse_scaled,full_rmse_scaled,ensemble_r2,full_r2,ensemble_relative_error,full_relative_error,ensemble_mae,full_mae,O_hat_count
AR-SLu,0.0030934001677263,0.0031032537350817,0.0556183438060356,0.0557068553688123,0.936603736881163,0.9364017974892798,0.1272517371304484,0.127190296507502,0.0341484726944185,0.0342882706108256,2
AT-Neu,0.0034196137759102,0.0034092125,0.0584774638293273,0.05838846,0.7561446962796177,0.7568864226341248,0.104056713910572,0.10428694,0.0407791059675968,0.040679965,7
AU-ASM,0.0018578365416892,0.0019099254,0.0431026280137209,0.04370269,0.4802548083759752,0.4656825661659241,0.141793756507669,0.15135549,0.0315581909063593,0.033270083,205
AU-Cpr,0.0011303866024913,0.0021783352762847,0.0336212225014402,0.0466726394827287,-0.0057392224366583,-0.9381309210038582,0.0555645221285387,0.083104498733102,0.0243749781998381,0.0362377465264061,205
AU-Cum,0.0005039199878584,0.0005060586876945,0.0224481622378866,0.0224957482137081,0.7242675694132614,0.7230973262827946,0.0440642621533673,0.0449352832250045,0.015070637304788,0.0153489008456238,103
AU-DaP,0.0045282080130947,0.0045354224384985,0.0672919609841678,0.0673455450530956,0.5510379688198881,0.5503226741440008,0.1821618329613967,0.1825616550059704,0.0541320224326754,0.0542747778676896,103
AU-DaS,0.0009752189985042,0.0009862359533997,0.0312284965777136,0.031404393854997,0.6784865791334942,0.6748544730512538,0.0404110154709112,0.0414624949137117,0.020621452637026,0.0211121638436549,103
AU-Dry,0.0026144185837905,0.0026649577124485,0.0511313855062671,0.0516232284194676,0.6533824699752294,0.6466820326184659,0.0883689408726213,0.0898052557878666,0.0389782967685132,0.0395464880904171,52
AU-Emr,0.0038523160190336,0.0042347838278897,0.0620670284372764,0.0650752166949119,0.2267064851460581,0.1499319228392578,0.0936610423507295,0.0995290283921392,0.0389833318291085,0.0411182849231831,7
AU-GWW,0.0036659043479838,0.003779119756452,0.0605467121153893,0.0614745455977677,0.6397031973750288,0.6285760249758344,0.0886862790909947,0.0918749623622057,0.0408508393170014,0.0420253435814409,52
AU-Gin,0.0069144730314689,0.0068886379312208,0.0831533104059537,0.0829978188341163,0.8366939981097775,0.8373041714246128,0.1318009711581006,0.1381465527281998,0.0572159301555934,0.0583477943746378,205
AU-How,0.0012464612292929,0.0012504715,0.0353052578137157,0.035362005,0.7373006340194069,0.7364554405212402,0.055331142138473,0.055604126,0.0249617197417672,0.025060493,26
AU-Lox,0.0013020227482671,0.0052316415367971,0.0360835523232843,0.0723300873551055,0.5805727080950369,-0.6852956255308527,0.1438754276092752,0.3729252402405798,0.0268943806099398,0.0637539049603712,205
AU-RDF,0.0011239325583081,0.004001651,0.0335251034048833,0.0632586,-0.9934080995959812,-6.09733247756958,0.0725983069125711,0.15481904,0.0238993902557351,0.05106205,1
AU-Rig,0.0121833386328568,0.012381108055477,0.1103781619382059,0.1112704275873739,0.5031326808954981,0.4950671443640635,0.4275822507976667,0.439578629102413,0.0917979481496512,0.0930710145229872,410
AU-Rob,0.0042664793342313,0.00560345,0.0653182924932318,0.07485619,0.7147622059110581,0.6253783106803894,0.1133342336802646,0.1256499,0.045285596407382,0.051924665,7
AU-Stp,0.0033134340614721,0.003421212231174,0.0575624362016772,0.0584911295084483,0.453926249294015,0.4361637623148099,0.1245130043756953,0.1256737386914895,0.0419930953945312,0.0426252095914296,103
AU-TTE,0.0014746924183101,0.0016649223695471,0.0384017241580398,0.0408034602643841,0.2084263661937774,0.1063162502877127,0.1060768284835555,0.122694403290227,0.0237503149656276,0.0289543084603721,52
AU-Wac,0.0036832416607469,0.0037073315172449,0.0606897162684664,0.0608878601795539,0.3113143445060845,0.3068100680721338,0.0942166437318845,0.0949058795563308,0.0350750344509382,0.0353163216502725,103
AU-Whr,0.0014406765429712,0.0014200990173027,0.0379562451115914,0.0376842011631234,0.8168211806464339,0.8194375672847497,0.0802896927765957,0.0806117160023727,0.0282663467721757,0.0282098779557985,103
AU-Wom,0.0035724882948515,0.0035710922871082,0.0597702960913823,0.0597586168440022,0.8651517179350865,0.8652044120884015,0.1078490573144806,0.1081885801053523,0.0412790320816885,0.0414508369835067,103
AU-Ync,0.00136045604028,0.0024644331122254,0.0368843603750974,0.0496430570394839,-0.0502556784092285,-0.9025126821750832,0.0760408218886653,0.1136444140061072,0.023239521638765,0.0357993111209701,205
BE-Bra,0.0012799662870304,0.0012837888,0.0357766164838218,0.03583,0.6328656798403562,0.6317692995071411,0.0927927860817493,0.09291946,0.0196355609522352,0.01964805,2
BE-Dor,0.0023436450149488,0.0023164714471503,0.0484112075345041,0.0481297355815545,0.8266169069459107,0.8286272102146062,0.0743573615197843,0.0761025623828118,0.0293193003745463,0.0296670580177806,103
BE-Lcr,0.0028079835894889,0.002960264,0.0529904103540342,0.054408308,0.7380471290649762,0.7238410711288452,0.0852023864242482,0.08911306,0.0378553767527091,0.03925185,26
BE-Lon,0.0057618735604165,0.0059552854007042,0.0759070060035078,0.0771704956619062,0.5284190299130445,0.5125892234598474,0.3223251030008705,0.3268255248265168,0.0466861531765323,0.0476357027514587,205
BE-Maa,0.0040191356342565,0.0040728147,0.0633966531786695,0.06381861,0.6397329631625628,0.6349213123321533,0.0658882034865313,0.06637398,0.0381345359158705,0.038425013,13
BE-Vie,0.0023055158182799,0.00231135,0.048015787177552,0.048076503,0.8003360388154238,0.7998307943344116,0.0802615171567406,0.08096308,0.0320208953514598,0.032164883,1
BR-Npw,0.0037994349766164,0.0038021407466077,0.0616395569145043,0.061661501332742,0.5244948782904294,0.524156247021053,0.1346634288353132,0.1339898707743874,0.0360868188012217,0.0361197668534799,2
BR-Sa3,0.0072587608193766,0.007252156756744,0.0851983616003069,0.085159595799558,0.7182007265242067,0.7184571091352546,0.1490864113403816,0.1482236039239336,0.0551999354482245,0.0550486959090659,4
CA-ARB,0.0059466335645443,0.0061456150107429,0.0771144186552964,0.0783939730511404,0.6378462675617527,0.6257281720637482,0.2990545289632024,0.2925757751655776,0.0541581726635494,0.05410942548412,13
CA-ARF,0.0055828534074438,0.0056073975221457,0.0747184944136583,0.0748825581971243,0.6798463059988846,0.6784388019119432,0.2258748827552749,0.231976892272582,0.0550344421992143,0.0558696110891664,103
CA-DB2,0.0001069591472086,0.00012202599,0.0103421055500636,0.011046537,0.2086701004653116,0.0971990227699279,0.0139157675824847,0.016727338,0.0057026690674238,0.0068241553,1
CA-DBB,6.063066264647751e-05,6.257760703270615e-05,0.0077865693759496,0.0079106009274078,0.497729317828835,0.481600629103755,0.0116697219732645,0.0119822882356604,0.0047176036867195,0.004840320867577,52
CA-Gro,0.0019883664382706,0.0020018212230134,0.0445911026805867,0.0447417168089634,0.6205247509040248,0.6179569355891237,0.097158542606487,0.0971058438367369,0.0335931618023825,0.0335491852745797,205
CA-LP1,0.0043422813890046,0.0043434623765997,0.0658959891723668,0.0659049495607105,0.5602578153999959,0.5601382169634751,0.0997811358126051,0.0993993511886969,0.0402436843708636,0.0400877984083449,103
CA-NS1,0.0045884875903407,0.0046624130991629,0.067738376053318,0.0682818650826335,0.684924509496752,0.6798483018151831,0.1072484431524783,0.1074689118838321,0.0508090289247848,0.0509377690636042,103
CA-NS2,0.0033444836089216,0.0034425473971376,0.0578315105191072,0.0586732255559348,0.7088318611118736,0.7002945040648841,0.1103196038506398,0.1122629605214825,0.0426886363285074,0.0434253414475044,103
CA-NS3,0.0031420632950773,0.0031865784,0.0560541104208901,0.056449786,0.6229844496948782,0.6176431179046631,0.1154369872940507,0.11623811,0.0385836553587377,0.03881638,7
CA-NS4,0.0024284187747051,0.0025936604840337,0.049278989181041,0.0509279931278839,0.6889506288036349,0.6677852802577182,0.068020219159323,0.071769591086616,0.0370882559750109,0.0389418790689271,205
CA-NS5,0.0054855371158303,0.0055070923160702,0.0740644119387334,0.0742097858511275,0.7114731747393727,0.7103394200382872,0.1687804665136781,0.1712283095337696,0.0559629175848058,0.0564352506661696,205
CA-NS6,0.0070442765381725,0.007049743923225,0.0839301884793103,0.083962753189882,0.657084762420376,0.6568186102280176,0.244009623345138,0.2489684359068373,0.0587087587880016,0.0592476408786093,103
CA-NS7,0.0035486769307293,0.0036289920627444,0.0595707724536902,0.0602411160482976,0.5830028856601837,0.573565233560012,0.1412241057913798,0.1465064141191667,0.0468794490522204,0.04800074644966,205
CA-Oas,0.0053745942738673,0.0053803366186858,0.0733116244115991,0.0733507779010275,0.6433793616750497,0.6429983396722148,0.2369348281887829,0.2353009819103471,0.0555556942105566,0.0551047291334284,410
CA-Obs,0.0055495545888484,0.005555671298445,0.0744953326648617,0.0745363756728554,0.7346478511565574,0.7343553804709684,0.1774809474290116,0.181799186985401,0.0540693230118188,0.0548349712014727,103
CA-Qfo,0.0019149510355094,0.001924967157392,0.0437601535133217,0.0438744476591104,0.6996712507152671,0.6981003858200894,0.0580702265608873,0.0584052842396196,0.0318805606848704,0.0320443993318344,103
CA-SF1,0.004263126302678,0.0042725936549167,0.0652926205836314,0.0653650797820725,0.7558099297088914,0.7552676437796249,0.1104514898730896,0.1106607807369041,0.0500492632876674,0.0501479618499896,4
CA-SF2,0.0049520695722267,0.0206720424543425,0.0703709426697322,0.1437777536837412,0.6912308173335333,-0.2889337598307897,0.1208741460237368,0.2083567304259099,0.0541040663834828,0.0995351617723828,26
CA-SF3,0.0014426608270859,0.0014480049,0.0379823752164863,0.03805266,0.6357930500607774,0.634443998336792,0.0571559191750402,0.056972545,0.028033907100763,0.027985951,2
CA-TP1,0.0052601926544453,0.0052754929920371,0.0725271856233604,0.0726325890495247,0.6063286538719816,0.6051835808886057,0.0854649309087291,0.0857657457152744,0.0466548285603947,0.0467194774172904,26
CA-TP4,0.0035224272381026,0.0035492239352458,0.0593500399166051,0.059575363492352,0.7083475598852853,0.7061288278631436,0.0886844245731209,0.0898959273459414,0.042765206047001,0.0432384590481514,205
CA-TPD,0.0035648458690285,0.0035555171642367,0.0597063302257687,0.0596281574781307,0.68404169048914,0.6848685093487005,0.1156608685969887,0.1153973032920529,0.0444291787102439,0.0443502090339626,52
CH-Aws,0.0024959484242131,0.0025370383340525,0.0499594678135497,0.0503690215713248,0.6957126255901853,0.690703250933843,0.0656883529020092,0.0664944703971894,0.0338542263019681,0.0342547101102861,103
CH-Cha,0.0035578293029666,0.0036163034,0.0596475423044964,0.060135707,0.6992707767352704,0.6943281888961792,0.1056098778007335,0.10641553,0.0378068953650934,0.03814821,103
CH-Dav,0.0004839579709999,0.00048754585,0.0219990447747161,0.02208044,0.6746538226269617,0.6722418069839478,0.0318412252477232,0.031764634,0.0152017098567841,0.0151838185,2
CH-Fru,0.0030967819501168,0.0031100283775132,0.0556487371834875,0.0557676284013694,0.6738932680294408,0.6724983525274478,0.0927540494071164,0.0933609332326668,0.0361542206214987,0.0363982555383807,52
CH-Lae,0.0016609102193679,0.0016609101,0.0407542662719861,0.040754266,0.6525123745564919,0.6525123715400696,0.0648521652565173,0.06485216,0.0266903932841626,0.026690394,1
CH-Oe1,0.0073044809012283,0.0076302923,0.0854662559214356,0.087351546,0.4537253860662549,0.4293591976165771,0.1867419555190538,0.18993269,0.0532013112988207,0.054070484,7
CH-Oe2,0.0020436746030444,0.0020391583819627,0.045207019400138,0.0451570413331376,0.5489153891274945,0.5499122199469617,0.0601422143684584,0.0608052034271616,0.0275666395135132,0.0278350620363425,205
CN-Cha,0.0062559610113559,0.0062426906133153,0.0790946332651965,0.0790106993597408,0.7077777248382234,0.7083975985715604,0.17631855093793,0.1768024174425294,0.0580319799861883,0.058086973296824,205
CN-Cng,0.0034382447103209,0.0034376107025701,0.0586365475648162,0.0586311410648821,0.6023871980748337,0.6024605173465822,0.1600303686594815,0.1615903940201256,0.0359026301904279,0.0360312682400607,52
CN-Dan,0.0043281480930602,0.0043408999815454,0.0657886623443602,0.065885506612194,0.6367876962899123,0.6357175751448445,0.1658686274032409,0.1678923694736707,0.0487322793463099,0.0489898849276662,52
CN-Din,0.0045416109244088,0.0045064534,0.0673914751612459,0.067130126,0.844930379524357,0.8461307883262634,0.1168432245881614,0.11823825,0.044042725752097,0.04419983,4
CN-Du2,0.0027373674670845,0.0027665590556303,0.0523198572922802,0.0525980898477343,0.5015996690977873,0.4962846730054767,0.1139040645303058,0.1142084686031836,0.0373839334475036,0.0373808892830024,52
CN-Du3,0.0002927052949771,0.00029270528,0.0171086321772708,0.017108632,0.9197155831222324,0.9197155833244324,0.0435022487490301,0.04350225,0.0132531531676343,0.013253153,1
CN-Ha2,0.0103392357945527,0.0103355973783082,0.1016820328010447,0.1016641400805034,0.6867832090596093,0.6868934312349088,0.2220111688372975,0.2252736375838631,0.069361199003004,0.0697735202427402,205
CN-HaM,0.0116975125626155,0.0136781877227534,0.1081550394693448,0.1169537845593439,0.4494525889069286,0.3562314381885016,0.4514504805034414,0.4774793422423245,0.0814589246400154,0.0848294107629935,52
